PRICECHANGE,value,total_points,transfers_balance ,selected,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,opponent_team
0,50,0,0,6064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,578,7400,153,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
0,50,0,571,7708,150,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
-1,49,0,449,8072,183,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,55,1,0,558286,0,0,90,0,0,0,4,0,0,0,0,0,3,0,14,236,0,0,24,0,0,0,0,8,0,0,0,31,19,0,0,0,0,0,0,0,0,8,9
0,55,6,19274,592228,9705,28979,90,0,0,1,0,0,0,0,0,0,1,0,24,98,0,0,10,0,0,0,0,9,0,0,0,17,5,0,0,0,0,0,0,0,1,13,8
0,55,4,7527,614051,17832,25359,90,0,0,0,1,0,0,0,0,0,6,0,22,326,0,0,33,0,0,0,1,12,0,0,0,23,8,0,0,0,0,0,0,0,0,28,18
0,55,1,6853,646656,35440,28587,90,0,0,0,1,1,0,0,0,0,5,0,12,230,0,0,23,0,0,0,0,7,0,0,0,18,8,0,0,0,0,0,0,0,0,31,13
0,60,0,0,136559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,60,7,16712,130639,1409,18121,90,0,0,1,0,0,0,0,0,0,0,1,30,236,3,30,27,0,0,0,11,8,0,0,0,44,41,0,0,0,0,0,1,0,0,13,8
0,60,2,6932,160761,13818,6886,90,0,0,0,1,0,0,0,0,0,0,0,21,386,0,20,41,0,0,0,16,3,0,1,0,43,36,0,0,0,0,0,0,0,0,28,18
0,60,10,11131,189746,21166,10035,90,1,0,0,1,0,0,0,0,0,0,2,30,492,23,210,73,0,0,0,5,6,0,1,0,70,69,0,0,0,0,0,0,0,0,31,13
0,50,0,0,5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,989,5775,129,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
0,50,0,858,5462,96,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
-1,49,0,614,5291,104,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,50,0,0,7373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,2150,5654,53,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
-1,49,0,1262,4654,30,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,49,0,700,4151,43,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,65,0,0,950852,0,0,90,0,0,0,4,0,0,0,0,0,0,0,9,196,68,20,28,0,1,0,4,2,0,0,0,33,25,0,0,0,0,1,0,1,0,8,9
0,65,9,56304,970078,4952,61256,90,0,0,1,0,0,0,0,0,0,0,3,31,208,289,110,61,0,0,0,5,5,2,1,0,59,50,0,0,0,0,1,0,0,3,13,8
0,65,2,14824,1003265,23529,38353,90,0,0,0,1,0,0,0,0,0,0,0,16,170,204,80,45,0,1,0,4,4,1,1,0,42,35,0,0,0,0,3,0,1,3,28,18
0,65,2,22447,1012776,29018,51465,90,0,0,0,1,0,0,0,0,0,0,0,15,124,55,100,28,0,0,0,6,7,0,0,0,51,40,0,0,0,0,0,1,0,3,31,13
0,50,0,0,22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,2292,25902,721,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
-1,49,1,3323,24108,382,3705,17,0,0,0,0,0,0,0,0,0,0,0,4,38,3,0,4,0,0,0,1,0,0,0,0,8,8,0,0,0,0,0,0,0,1,28,18
0,49,0,1535,23761,588,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,50,0,0,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,1220,13105,331,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
-1,49,0,1542,12368,182,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,49,0,1096,11800,167,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,50,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,22,292,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
0,50,0,24,289,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,50,0,13,361,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,60,0,0,218317,0,0,90,0,0,0,4,0,0,0,0,0,0,0,15,234,43,40,32,0,0,0,9,7,0,1,0,63,54,0,0,0,0,4,0,0,1,8,9
0,60,9,15966,210950,1521,17487,90,0,0,1,0,0,0,0,0,0,0,3,31,230,151,80,46,0,0,0,11,6,1,1,0,54,48,0,0,0,0,0,0,1,0,13,8
0,60,2,736,220764,11476,10740,73,0,0,0,1,0,0,0,0,0,0,0,16,112,17,0,13,0,0,0,5,3,0,2,0,33,32,0,0,0,0,1,0,3,1,28,18
0,60,1,26450,196161,4479,30929,90,0,0,0,1,0,0,0,1,0,0,0,20,166,146,210,52,0,0,0,8,12,1,3,0,66,56,0,0,0,0,0,1,1,0,31,13
0,45,6,0,63607,0,0,90,1,0,0,4,0,0,0,0,0,0,0,26,488,5,270,76,0,0,0,6,8,0,0,0,86,70,0,0,0,0,0,1,0,0,8,9
0,45,0,42967,169767,49239,6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
0,45,0,15129,170720,15115,30244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,45,0,15483,158825,11537,27020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5
0,110,2,0,296455,0,0,90,0,0,0,4,0,0,0,0,0,0,0,0,54,153,140,35,0,0,0,0,0,1,0,0,17,12,0,0,0,0,4,0,0,1,8,9
0,110,3,20160,307114,5439,25599,90,0,0,1,0,0,0,0,0,0,0,0,9,92,423,360,88,0,0,0,1,3,3,0,0,58,49,0,0,0,0,5,1,1,2,13,8
-1,109,16,35661,280067,7411,43072,90,1,2,0,1,0,0,0,0,0,0,3,46,586,281,610,148,0,1,1,1,1,1,1,1,44,39,0,1,0,0,3,0,5,1,28,18
1,110,1,219148,533733,245076,25928,29,0,0,0,0,0,0,0,0,0,0,0,3,24,212,280,52,0,1,0,0,1,1,0,0,12,6,0,0,0,0,0,1,1,0,31,13
0,75,5,0,48930,0,0,90,1,0,0,4,0,0,1,0,0,0,0,21,466,200,380,105,0,0,0,2,2,1,4,0,17,13,0,1,0,0,3,0,2,1,8,9
0,75,3,15264,82387,20096,4832,90,0,0,1,0,0,0,0,0,0,0,0,14,206,153,480,84,0,0,0,3,3,1,3,0,31,24,0,0,0,0,2,0,0,1,13,8
0,75,5,14497,104782,26209,11712,90,0,1,0,1,0,0,0,0,0,0,0,20,324,211,550,109,0,2,0,3,6,1,1,0,21,17,0,0,0,0,1,1,0,1,28,18
0,75,2,4091,113736,20629,16538,74,0,0,0,1,0,0,0,0,0,0,0,3,0,163,340,47,0,1,0,0,2,1,0,0,17,13,0,0,0,0,0,2,4,1,31,13
0,95,0,0,179727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,95,1,23953,169471,4332,28285,18,0,0,0,0,0,0,0,0,0,0,0,5,48,143,60,25,0,0,0,0,3,0,0,0,18,16,0,0,0,0,1,0,0,2,13,8
0,95,8,16729,198678,31359,14630,69,1,0,0,1,0,0,0,0,0,0,1,26,372,167,230,77,0,0,0,1,1,1,0,0,37,30,0,0,0,0,3,0,0,0,28,18
1,96,2,108211,327010,128329,20118,90,0,0,0,1,0,0,0,0,0,0,0,18,244,688,280,121,0,1,0,2,3,4,2,0,61,52,0,0,0,0,4,0,0,1,31,13
0,75,7,0,41903,0,0,30,0,2,0,1,0,0,0,0,0,0,0,22,388,303,10,70,0,2,0,2,0,2,0,0,17,16,0,0,0,0,3,1,0,0,8,9
0,75,3,14609,74572,18972,4363,72,0,0,1,0,0,0,0,0,0,0,0,10,32,169,150,35,0,0,0,0,3,0,0,0,47,39,0,0,0,0,1,0,0,0,13,8
0,75,9,13797,97574,24968,11171,90,1,0,0,1,0,0,0,0,0,0,2,33,462,247,270,98,0,1,0,0,5,1,1,0,65,60,0,0,0,0,1,0,1,0,28,18
1,76,9,88325,198923,110802,22477,90,1,0,0,1,0,0,0,1,0,0,3,42,516,578,230,132,0,1,1,5,6,3,0,1,80,74,0,0,0,0,3,0,0,4,31,13
0,80,2,0,163170,0,0,60,0,0,0,3,0,0,0,0,0,0,0,5,22,49,230,30,0,0,0,2,2,0,0,0,26,22,0,0,0,0,2,1,0,1,8,9
-1,79,0,74173,96836,1610,75783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
